,log rate
0,-0.004125631799954461
1,0.0069369607368687065
2,0.00561459942206849
3,-0.00745173080770117
4,0.007375476848954685
5,0.01898152183098051
6,0.003308182041281231
7,0.013710674197080604
8,-0.0017623166216336548
9,0.0004678465839507119
10,-0.014144818812681913
11,0.0016739874825234906
12,-0.0029671713562479953
13,-0.000541862978163801
14,-0.0153342419308093
15,0.003385159335198443
16,-0.002632233243161663
17,-0.005018419203475254
18,-0.010022675527692187
19,-0.0163528153670531
20,0.0083771466190397
21,0.0029737840319842036
22,0.0004909082171778624
23,0.00033782192963120755
24,-0.008892808475204251
25,0.002579151552298808
26,-0.002055926985016141
27,0.020540061868760506
28,-0.0010444491261509502
29,-0.0013750911615226934
30,-0.011262899929235405
31,0.0007552799609090187
32,-0.010576812516849318
33,0.0014631346077485464
34,0.008347039713162587
35,-0.0018120549582981748
36,0.006550555074755261
37,0.0033890727953407858
38,-0.003391038815628964
39,0.007668969647038442
40,-0.0047095744817422245
41,-0.0006779732732329522
42,-0.00044487859398701756
43,-0.006630858239416957
44,0.007892385531148361
45,-0.005365989478904668
46,0.00026893518085438587
47,0.01079109984310877
48,0.0011763905258814155
49,-0.0015754895128429808
50,0.009218904285832448
51,0.007346248712041205
52,-0.009288042418493162
53,-0.005423793752184988
54,-0.015583556806608969
55,0.0014512117249385233
56,-0.0011399545894496882
57,0.004714302612102741
58,-0.004152802676488531
59,0.006483496987558689
60,-0.0010635095784557274
61,0.005785803920698433
62,0.0010022671397636755
63,0.004397789071942615
64,0.0018488127096662438
65,-0.0018696926130757094
66,0.00026800657164941123
67,0.0019854767057775648
68,-0.012386837858688902
69,-0.00013245182574766896
70,0.004219521924313355
71,0.009570749106897302
72,0.0017940528422917814
73,-0.0014892575390049482
74,-0.005668400793582794
75,0.00168956974159021
76,-0.0022306797602189305
77,0.010170646224421846
78,0.0014482533700328338
79,0.012703732963837906
80,0.010186123109348005
81,0.02385210561931761
82,0.002404876948394262
83,-0.0008931282649672508
84,0.009272210639113989
85,-0.007412616731257782
86,0.017252030081357162
87,-0.0015241009810961193
88,-0.0011177692654999749
89,-0.013528058128703519
90,0.0030834598038509665
91,0.01368134469581254
92,-0.0013759915302302696
93,0.0005768964392420464
94,-0.007410162227048957
95,0.009143797354260972
96,0.005701506645513931
97,0.0026150591205323826
98,-0.0022824458509289863
99,-0.004363112309192497
100,0.004631354629574917
101,-0.005162328252123452
102,-0.009993816807689189
103,0.0010682496553695636
104,-0.006195762522464956
105,0.009690496310723324
106,0.00822469871569816
107,0.013566625208821083
108,0.009915611949377415
109,0.007936085019659304
110,0.008447603963577648
111,4.083423043843043e-05
112,-0.0035402824419066524
113,-0.002862214868776943
114,0.008730727094659578
115,0.0030785130144984733
116,-0.018373166464280628
117,0.0049248131006254595
118,0.003475484058698755
119,0.005822146352110498
120,-0.017139316926493727
121,0.008632138589288772
122,0.014552102122714655
123,0.0006517828923606675
124,0.0011144683637670017
125,0.004247440572764462
126,0.0026088733808832796
127,0.007973642231230158
128,0.0027564026659610986
129,-0.006226416872320485
130,-0.0035991650794896233
131,-0.00276543277434767
132,0.005998143965009379
133,-0.007260237604641175
134,-0.006520258713993591
135,0.006617432051997749
136,-0.00726987893244871
137,-0.005616564384367938
138,-0.010427897995063428
139,-5.9938784276940484e-05
140,-0.005157307210445683
141,0.0204980571093003
142,0.014926933434644222
143,0.0075758542359372055
144,0.012097617347977806
145,0.004063334807368903
146,0.0002653933834697512
147,-0.004710591190971021
148,0.0027285214109789287
149,-0.003176280298442378
150,0.022692621323389943
151,-0.001618337406689888
152,0.00999293389433955
153,-0.003562194108230115
154,-0.0027322388346866107
155,-0.0019443423660408074
156,-0.007156889813743024
157,-0.002192629408046447
158,0.0006827573054942183
159,0.013819974416749304
160,0.01836347613759262
161,0.013613841613315629
162,0.014210762001252234
163,0.00998741594270536
164,0.019705451237147408
165,-0.0009994425583804358
166,0.030639647185577157
167,0.005765773937583482
168,0.042243083394643624
169,0.013085787582343262
170,0.027733337429998006
171,-0.05582603048435283
172,0.028895394447806984
173,-0.004863156643876983
174,0.004239494091439304
175,0.005176199868834938
176,0.022795194626474048
177,0.012988839646704513
178,-0.0011437368423059745
179,0.01656672040084982
180,0.006045199960086217
181,-0.030792082895573357
182,-0.020010179503579747
183,0.03308916435848625
184,0.027309916222351086
185,0.003292328989752349
186,-0.0006949980473411676
187,0.02151855113034652
188,0.03518618168293148
189,0.0002766352870872131
190,0.006693455864101576
191,-0.024147881000023352
192,-0.002445406720001862
193,-0.01722171253820525
194,0.0018516183433480535
195,-0.003984062845408348
196,0.034770960482088005
197,0.011929323124926368
198,-0.0801754231278114
199,0.01803113466233771
200,0.046357941724580146
201,0.005919661261927094
202,0.0025152706839545137
203,0.009329912341959349
204,-0.008973148957609605
205,-0.01418379138802578
206,-0.013225745662072602
207,-0.016049985887016952
208,-0.025894288847965633
209,0.02419334677835881
210,-0.009650753932117194
211,-0.011914906724757661
212,-0.019517595017948405
213,0.0062281528382314875
214,0.01490202616083828
215,0.005115185116319364
216,0.004963428984519262
217,0.009537422526061849
218,0.005768908608973994
219,0.007587601550778308
220,-0.005578674172137492
221,0.021301203334372642
222,0.003614653920792756
223,0.007818186517232508
224,-0.02219495876291759
225,0.005038080471372259
226,-0.009515070924640604
227,-0.0022463425497002754
228,0.01871227860652345
229,-0.004960186089067713
230,0.0014693703449301112
231,0.01759715226329111
232,0.0070179338629828706
233,0.022396591749401215
234,0.015403304938797529
235,0.021032539051486554
236,0.0013883513702534931
237,0.00973591043479711
238,0.0192776829933756
239,0.0009979486236943358
240,-0.008346737318720992
241,0.005820122105084453
242,0.0024415492481799157
243,0.02553663502617158
244,-0.010264651639758328
245,0.01651093520821069
246,0.004057062079981826
247,0.009921127844423751
248,0.024907403093188018
249,0.00840432442926401
250,-0.00937516494420449
251,0.01921417936313659
252,0.021434055502672283
253,0.0033546187093990423
254,-0.012507146236619731
255,0.02673433458491927
